absorbuoti, absorbuoja, absorbavo
neršti, neršia, neršė
nerti, neria, nėrė
nervinti, nervina, nervino
nėšėti, nėši, nėšėjo
nešioti, nešioja, nešiojo
nešti, neša, nešė
niekinti, niekina, niekino
niežėti, niežti, niežėjo
niokti, niokia, niokė
niršti, niršta, niršo
niūniuoti, niūniuoja, niūniavo
nokti, noksta, noko
nominuoti, nominuoja, nominavo
norėti, nori, norėjo
nykti, nyksta, nyko
obliuoti, obliuoja, obliavo
obuoliauti, obuoliauja, obuoliavo
okupuoti, okupuoja, okupavo
organizuoti, organizuoja, organizavo
orientuoti, orientuoja, orientavo
ošti, ošia, ošė
pėdinti, pėdina, pėdino
peikti, peikia, peikė
pelnyti, pelno, pelnė
pešioti, pešioja, pešiojo
pešti, peša, pešė
piesti, piečia, pietė
piešti, piešia, piešė
pietauti, pietauja, pietavo
pigti, pinga, pigo
piktinti, piktina, piktino
piktnaudžiauti, piktnaudžiauja, piktnaudžiavo
pildyti, pildo, pildė
pilkuoti, pilkuoja, pilkavo
pilti, pila, pylė
pinti, pina, pynė
piratauti, piratauja, piratavo
pirkinėti, pirkinėja, pirkinėjo
pirkti, perka, pirko
pirmauti, pirmauja, pirmavo
pirstelėti, pirstelėja, pirstelėjo
piršti, perša, piršo
pisti, pisa, piso
pjaustyti, pjausto, pjaustė
pjauti, pjauna, pjovė
plakti, plaka, plakė
planiruoti, planiruoja, planiravo
planuoti, planuoja, planavo
plasnoti, plasnoja, plasnojo
platinti, platina, platino
plaukioti, plaukioja, plaukiojo
plaukti, plaukia, plaukė
plaukyti, plauko, plaukė
plauti, plauna, plovė
pleiskanoti, pleiskanoja, pleiskanojo
plepėti, plepa, plepėjo
plėpėti, plepa, plepėjo
plėšikauti, plėšikauja, plėšikavo
pleškėti, pleška, pleškėjo
plėsti, plečia, plėtė
plėšti, pleška, pleškėjo
plėšyti, plėšo, plėšė
plėtoti, plėtoja, plėtojo
pleventi, plevena, pleveno
plevėsuoti, plevėsuoja, plevėsavo
pliaukšti, pliauškia, pliauškė
plikyti, pliko, plikė
plisti, plinta, plito
pliumptelėti, pliumptelėja, pliumptelėjo
pliurpti, pliurpia, pliurpė
plonėti, plonėja, plonėjo
ploti, ploja, plojo
plūduriuoti, plūduriuoja, plūduriavo
plukdyti, plukdo, plukdė
plūsti, plūsta, plūsdo
plušti, plūšta, plušo
plyšoti, plyšo, plyšojo
plyšti, plyšta, plyšo
poilsiauti, poilsiauja, poilsiavo
pokštauti, pokštauja, pokštavo
pokštelėti, pokštelėja, pokštelėjo
pompuoti, pompuoja, pompavo
populiarėti, populiarėja, populiarėjo
